Citation,Authors,Year,Title,Journal/Book/ Publisher,Volume,Pages,Language,Multiple studies,Country,State/Province,Name of site/area,Research project,Lat.,Long.,Plotted lat.,Plotted long.,Altitude (m),Forest type,Dominant tree species,Stand age (years),Measure of age,Stand origin,Type of comparison,No. of true replicates,Intervention category,Intervention (specification),Outcome categories,Focal species,Focal communities,Focal biodiversity indicators,Remarks,Google Scholar search
Jacobs et al. (2008),"J. M. Jacobs, T. T. Work and J. R. Spence",2008,"Influences of succession and harvest intensity on ground beetle (Coleoptera, Carabidae) populations in the boreal mixed-wood forests of Alberta, Canada: species matter","Back to the roots and back to the future: Towards a new synthesis amongst taxonomic, ecological and biogeographical approaches in carabidology, Proceedings (L. Penev, T. Erwin and T. Assmann, eds.)",,425-450,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 W,56.77,-118.37,677-880,Coniferous; mixed; broadleaf,"Picea glauca, Populus tremuloides, Populus balsamifera",90-120 to 200-240,D,,CI,3 in each of 4 stand types,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention. (Study also reports on low-retention harvesting.)",BeetgAbuns,,Carabids,,,"http://scholar.google.co.uk/scholar?q=Influences+of+succession+and+harvest+intensity+on+ground+beetle+(Coleoptera,+Carabidae)+populations+in+the+boreal+mixed-wood+forests+of+Alberta,+Canada:+species+matter&btnG=&hl=en&as_sdt=0%2C5"
Koivula et al. (2006),"M. Koivula, T. Cobb, A. D. Déchêne, J. Jacobs and J. R. Spence",2006,"Responses of two Sericoda Kirby, 1837 (Coleoptera : Carabidae) species to forest harvesting, wildfire, and burn severity",Entomologica Fennica,17,315-324,English,,Canada,Alberta,EMEND experimental area,,56.73 N,118.33 W,56.77,-118.37,,Coniferous,Picea glauca,100, ,,CI,1,BURN,Prescribed burning. (Study also reports on two wildfires.),BeetgAbuns,"Sericoda quadripuntata, Sericoda bembidioides (pyrophilous carabids)",,,,"http://scholar.google.co.uk/scholar?q=Responses+of+two+Sericoda+Kirby,+1837+(Coleoptera+:+Carabidae)+species+to+forest+harvesting,+wildfire,+and+burn+severity&btnG=&hl=en&as_sdt=0%2C5"
Lazaruk et al. (2005),"L. W. Lazaruk, G. Kernaghan, S. E. Macdonald and D. Khasa",2005,Effects of partial cutting on the ectomycorrhizae of Picea glauca forests in northwestern Alberta,Canadian Journal of Forest Research,35,1442-1454,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.73 N,118.33 W,56.77,-118.37,,Coniferous,Picea glauca,114-131,D,,CI,3 (partial harvesting); 1 (burning),"BURN, PART","Prescribed burning; single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention. (Study also reports on low-retention harvesting.)","FungRich, FungDiv, FungComp",,Ectomycorrhizal fungi,,,http://scholar.google.co.uk/scholar?q=Effects+of+partial+cutting+on+the+ectomycorrhizae+of+Picea+glauca+forests+in+northwestern+Alberta&btnG=&hl=en&as_sdt=0%2C5
Lindo and Visser (2004),Z. Lindo and S. Visser,2004,Forest floor microarthropod abundance and oribatid mite (Acari: Oribatida) composition following partial and clear-cut harvesting in the mixedwood boreal forest,Canadian Journal of Forest Research,34,998-1006,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 W,56.77,-118.37,677-800,Coniferous; broadleaf,Picea glauca; Populus tremuloides, 80-140, ,,CI,2 in each of 2 stand types,PART,"Single-tree selection harvesting, 67% retention. (Study also reports on strip cutting in machine corridors and clearcutting.)","ArthAbuns, ArthAbunt, ArthRich, ArthDiv",,"Forest-floor microarthropods (Acari, Collembola)",,,http://scholar.google.co.uk/scholar?q=Forest+floor+microarthropod+abundance+and+oribatid+mite+(Acari:+Oribatida)+composition+following+partial+and+clear-cut+harvesting+in+the+mixedwood+boreal+forest&btnG=&hl=en&as_sdt=0%2C5
Macdonald and Fenniak (2007),S. E. Macdonald and T. E. Fenniak,2007,Understory plant communities of boreal mixedwood forests in western Canada: Natural patterns and response to variable-retention harvesting,Forest Ecology and Management,242,34-48,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.78 N,118.35 W,56.77,-118.37,,Coniferous; mixed; broadleaf,"Picea glauca, Populus tremuloides",,,,BACI,3 in each of 3 stand types,PART,"Partial harvesting, 75% retention (strip cutting in machine corridors). (Study also reports on low-retention harvesting.)","TreeAbunt, VascAbuns, VascAbunt, VascRich, VascComp, DeadAbunt",,Vascular plants,,,http://scholar.google.co.uk/scholar?q=Understory+plant+communities+of+boreal+mixedwood+forests+in+western+Canada:+Natural+patterns+and+response+to+variable-retention+harvesting&btnG=&hl=en&as_sdt=0%2C5
Park and Reid (2007),J. Park and M. L. Reid,2007,"Distribution of a bark beetle, Trypodendron lineatum, in a harvested landscape",Forest Ecology and Management,242,236-242,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 W,56.77,-118.37,,Coniferous; mixed; broadleaf,"Picea glauca, Picea mariana, Abies balsamea; Populus balsamifera, Populus tremuloides",,,,BACI,3 in each of 4 stand types,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50% retention. (Study also reports on low-retention harvesting.)",BeetsAbuns,Trypodendron lineatum (bark beetle),,,Site coordinates from other EMEND studies.,"http://scholar.google.co.uk/scholar?q=Distribution+of+a+bark+beetle,+Trypodendron+lineatum,+in+a+harvested+landscape&btnG=&hl=en&as_sdt=0%2C5"
Patriquin and Barclay (2003),K. J. Patriquin and R. M. R. Barclay,2003,"Foraging by bats in cleared, thinned and unharvested boreal forest",Journal of Applied Ecology,40,646-657,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 W,56.77,-118.37,,Coniferous; mixed; broadleaf,"Picea glauca, Populus tremuloides",57-93 (Populus); 73-147 (Picea); 84-145 (mixture of both),D,,CI,3 in each of 3 stand types,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50% retention, referred to as thinning by authors. (Study also reports on low-retention harvesting.)","MammAbuns, MammPerf",,Bats,,Site coordinates from other EMEND studies.,"http://scholar.google.co.uk/scholar?q=Foraging+by+bats+in+cleared,+thinned+and+unharvested+boreal+forest&btnG=&hl=en&as_sdt=0%2C5"
Pengelly and Cartar (2010),C. J. Pengelly and R. V. Cartar,2010,"Effects of variable retention logging in the boreal forest on the bumble bee-influenced pollination community, evaluated 8-9 years post-logging",Forest Ecology and Management,260,994-1002,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 W,56.77,-118.37,677-880,Broadleaf,,,,,CI,6 (3 in each of 2 stand types),PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention, outcomes pooled. (Study also reports on low-retention harvesting.)","VascRich, VascDiv, VascComp, VascPerf, InsAbuns, InsAbunt, InsRich, InsDiv",,Bumble bees; vascular plants,,,"http://scholar.google.co.uk/scholar?q=Effects+of+variable+retention+logging+in+the+boreal+forest+on+the+bumble+bee-influenced+pollination+community,+evaluated+8-9+years+post-logging&btnG=&hl=en&as_sdt=0%2C5"
Pengelly and Cartar (2011),C. J. Pengelly and R. V. Cartar,2011,Effect of boreal forest logging on nectar production of four understory herbs,Forest Ecology and Management,261,2068-2074,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 W,56.77,-118.37,677-880,Broadleaf,Populus tremuloides,,,,CI,6 (3 in each of 2 stand types),PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50% retention. (Study also reports on low-retention harvesting.)",VascPerf,"Chamerion angustifolium, Delphinium glaucum, Mertensia paniculata, Vicia americana (herbs; nectar production)",,,,http://scholar.google.co.uk/scholar?q=Effect+of+boreal+forest+logging+on+nectar+production+of+four+understory+herbs&btnG=&hl=en&as_sdt=0%2C5
Pinzon et al. (2012),"J. Pinzon, J. R. Spence and D. W. Langor",2012,Responses of ground-dwelling spiders (Araneae) to variable retention harvesting practices in the boreal forest,Forest Ecology and Management,266,42-53,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.75 N,118.37 W,56.77,-118.37,,Coniferous; broadleaf,Picea glauca; Populus tremuloides,127 ± 25 (Picea); 94 ± 16 (Populus),D,Regenerated after wildfire,CI,3 in each of 2 stand types,PART,"Partial harvesting, 75% retention (strip cutting in machine corridors). (Study also reports on low-retention harvesting.)","ArthAbunt, ArthRich, ArthComp",,Ground-dwelling spiders,,,http://scholar.google.co.uk/scholar?q=Responses+of+ground-dwelling+spiders+Araneae+to+variable+retention+harvesting+practices+in+the+boreal+forest&btnG=&hl=en&as_sdt=0%2C5
Solarik et al. (2012),"K. A. Solarik, W. J. A. Volney, V. J. Lieffers, J. R. Spence and A. Hamann",2012,Factors affecting white spruce and aspen survival after partial harvest,Journal of Applied Ecology,49,145-154,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.73-56.85 N,118.32-118.45 W,56.77,-118.37,677-880,Coniferous; mixed; broadleaf,"Picea glauca, Populus tremuloides, Populus balsamifera",,,,CI,3 in each of 4 stand types,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention. (Study also reports on low-retention harvesting.)",TreeMort,"Populus tremuloides  (trembling aspen), Picea glauca (white spruce)",,,,http://scholar.google.co.uk/scholar?q=Factors+affecting+white+spruce+and+aspen+survival+after+partial+harvest&btnG=&hl=en&as_sdt=0%2C5
Spence et al. (2003),"J. R. Spence, R. Cartar, M. Reid, D. W. Langor and W. J. A. Volney",2003,Dynamics of arthropod assemblages in forests managed to emulate natural disturbance (BUGS),"University of Alberta, Sustainable Forest Management Network, Final Report",,,English,1,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.73 N,118.33 W,56.77,-118.37,,Broadleaf,"Populus tremuloides, Populus balsamifera, Picea glauca, Picea mariana",,,,BACI,3 in each of 2 stand types,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention. (Study also reports on low-retention harvesting.)","InsAbunt, VascRich, VascPerf",,Bumble bees; flowering plants,,,http://scholar.google.co.uk/scholar?q=Dynamics+of+arthropod+assemblages+in+forests+managed+to+emulate+natural+disturbance+(BUGS)&btnG=&hl=en&as_sdt=0%2C5
Spence et al. (2003),"J. R. Spence, R. Cartar, M. Reid, D. W. Langor and W. J. A. Volney",2003,Dynamics of arthropod assemblages in forests managed to emulate natural disturbance (BUGS),"University of Alberta, Sustainable Forest Management Network, Final Report",,,English,4,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.73 N,118.33 W,56.77,-118.37,,Coniferous,"Populus tremuloides, Populus balsamifera, Picea glauca, Picea mariana",,,,CI,3,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50% retention. (Study also reports on low-retention harvesting.)","BeetsAbuns, BeetsPerf, InsAbuns",Dendroctonus rufipennis (spruce beetle) and its parasites,,,,http://scholar.google.co.uk/scholar?q=Dynamics+of+arthropod+assemblages+in+forests+managed+to+emulate+natural+disturbance+(BUGS)&btnG=&hl=en&as_sdt=0%2C5
Spence et al. (2003),"J. R. Spence, R. Cartar, M. Reid, D. W. Langor and W. J. A. Volney",2003,Dynamics of arthropod assemblages in forests managed to emulate natural disturbance (BUGS),"University of Alberta, Sustainable Forest Management Network, Final Report",,,English,3,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.73 N,118.33 W,56.77,-118.37,,Coniferous; mixed; broadleaf,"Populus tremuloides, Populus balsamifera, Picea glauca, Picea mariana",,,,BACI,2 in each of 3 stand types,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50% retention. (Study also reports on low-retention harvesting.)","InsAbunt, InsRich, InsComp",,Moths,,,http://scholar.google.co.uk/scholar?q=Dynamics+of+arthropod+assemblages+in+forests+managed+to+emulate+natural+disturbance+(BUGS)&btnG=&hl=en&as_sdt=0%2C5
Spence et al. (2003),"J. R. Spence, R. Cartar, M. Reid, D. W. Langor and W. J. A. Volney",2003,Dynamics of arthropod assemblages in forests managed to emulate natural disturbance (BUGS),"University of Alberta, Sustainable Forest Management Network, Final Report",,,English,5,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.73 N,118.33 W,56.77,-118.37,,Coniferous; mixed; broadleaf,"Populus tremuloides, Populus balsamifera, Picea glauca, Picea mariana",,,,CI,Not clear,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention. (Study also reports on low-retention harvesting.)","ArthAbuns, ArthAbunt, ArthRich, ArthComp",,Spiders,,,http://scholar.google.co.uk/scholar?q=Dynamics+of+arthropod+assemblages+in+forests+managed+to+emulate+natural+disturbance+(BUGS)&btnG=&hl=en&as_sdt=0%2C5
Spence et al. (2003),"J. R. Spence, R. Cartar, M. Reid, D. W. Langor and W. J. A. Volney",2003,Dynamics of arthropod assemblages in forests managed to emulate natural disturbance (BUGS),"University of Alberta, Sustainable Forest Management Network, Final Report",,,English,2,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.73 N,118.33 W,56.77,-118.37,,Coniferous; mixed; broadleaf,"Populus tremuloides, Populus balsamifera, Picea glauca, Picea mariana",,,,BACI,3 in each of 4 stand types,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50% retention. (Study also reports on low-retention harvesting.)",BeetsAbuns,Trypodendron lineatum (bark beetle),,,,http://scholar.google.co.uk/scholar?q=Dynamics+of+arthropod+assemblages+in+forests+managed+to+emulate+natural+disturbance+(BUGS)&btnG=&hl=en&as_sdt=0%2C5
Work et al. (2010),"T. T. Work, J. M. Jacobs, J. R. Spence and W. J. Volney",2010,High levels of green-tree retention are required to preserve ground beetle biodiversity in boreal mixedwood forests,Ecological Applications,20,741-751,English,,Canada,Alberta,EMEND experimental area,Ecosystem Management by Emulating Natural Disturbance (EMEND),56.77 N,118.37 W,56.77,-118.37,677-880,Coniferous; mixed; broadleaf,"Picea glauca, Populus tremuloides, Populus balsamifera",Early- to late-successional,,,CI,3 in each of 4 stand types,PART,"Single-tree selection harvesting with strip cutting in machine corridors, 50 and 75% retention. (Study also reports on low-retention harvesting.)","TreeAbunt, BeetgAbunt, BeetgComp",,Ground beetles,,,http://scholar.google.co.uk/scholar?q=High+levels+of+green-tree+retention+are+required+to+preserve+ground+beetle+biodiversity+in+boreal+mixedwood+forests&btnG=&hl=en&as_sdt=0%2C5
Fisher and Bradbury (2006),J. T. Fisher and S. M. Bradbury,2006,Understorey protection harvest expedites recolonisation of boreal forest stands by North American red squirrels,Forest Ecology and Management,234,40-47,English,,Canada,Alberta,Grande Prairie; Manning,,54.81-57.15 N,117.83-118.75 W,56,-118.3,,Mixed,"Populus tremuloides, Picea glauca ",75 (Manning); 105 (Grande Prairie),D,,CI,3 in each of 2 areas,PART,"Mixed understorey protection (MUP) harvesting, leaving 15-30% of deciduous stems and protecting coniferous understorey","TreeAbuns, DeadAbunt, FungAbunt, MammAbuns, MammPerf",Tamiasciurus hudsonicus (red squirrel),Tamiasciurus hudsonicus (red squirrel),,,http://scholar.google.co.uk/scholar?q=Understorey+protection+harvest+expedites+recolonisation+of+boreal+forest+stands+by+North+American+red+squirrels&btnG=&hl=en&as_sdt=0%2C5
Hammond et al. (2001),"H. E. J. Hammond, D. W. Langor and J. R. Spence",2001,Early colonization of Populus wood by saproxylic beetles (Coleoptera),Canadian Journal of Forest Research,31,1175-1183,English,,Canada,Alberta,Lac la Biche; Eureka River,,54.85-56.58 N,111.45-118.62 W,55.7,-115,,Broadleaf,"Populus tremuloides, Populus balsamifera",40-80 and >100, ,,CI,5,CREA,"Aspen cut to create different forms of dead wood (stumps, logs and simulated snags)","BeetsAbuns, BeetsDiv, BeetsRich",,Saproxylic beetles,,Included based on extended inclusion criteria for deadwood studies.,http://scholar.google.co.uk/scholar?q=Early+colonization+of+Populus+wood+by+saproxylic+beetles+(Coleoptera)&btnG=&hl=en&as_sdt=0%2C5
Bayne and Nielsen (2011),E. Bayne and B. Nielsen,2011,Temporal trends in bird abundance in response to thinning of lodgepole pine (Pinus contorta),Canadian Journal of Forest Research,41,1917-1927,English,,Canada,Alberta,,,54.38 N,116.8 W,54.38,-116.8,,Coniferous,Pinus contorta,60,O,Naturally regenerated after wildfire in 1941,BACI,4,THIN,Thinning,"BirdAbunt, BirdRich, BirdAbuns",,Birds,,Includes review of other similar studies,http://scholar.google.co.uk/scholar?q=Temporal+trends+in+bird+abundance+in+response+to+thinning+of+lodgepole+pine+(Pinus+contorta)&btnG=&hl=en&as_sdt=0%2C5
Teste et al. (2012),"F. P. Teste, V. J. Lieffers and S. E. Strelkov",2012,Ectomycorrhizal community responses to intensive forest management: Thinning alters impacts of fertilization,Plant and Soil,360,333-347,English,,Canada,Alberta,,,53 N,117 W,53,-117,,Coniferous,Pinus contorta,10-30,O,Regenerated after harvesting,CI,5,THIN,Thinning. (Study also reports on fertilisation.),"FungAbunt, FungRich, FungDiv, FungAbuns",,Ectomycorrhizal fungi ,,,http://scholar.google.co.uk/scholar?q=Ectomycorrhizal+community+responses+to+intensive+forest+management:+Thinning+alters+impacts+of+fertilization&btnG=&hl=en&as_sdt=0%2C5
